Keys,en,it,fr,es,de,pl
PLAY,Play,Gioca,Jouer,Jugar,Spielen,Graj
RESTART,Restart,Riavvia,Relancer,Reiniciar,Neustart,Od nowa
LEVELS,Levels,Livelli,Niveaux,Niveles,Level,Poziomy
EDITOR,Editor,Editor,Éditeur,Editor,Editor,Edytor
OPTIONS,Options,Opzioni,Options,Opciones,Optionen,Ustawienia 
QUIT,Quit,Esci,Quitter,Abandonar,Beenden,Zakończ 
BACK,Menu,Menu,Menu,Menú,Menü,Menu
MUSIC,Music,Musica,Musique,Música,Musik,Muzyka
SFX,Effects,Effetti,Effets,Efectos,Effekte,Efekty 
TUTORIAL,Tutorial,Tutorial,Tutoriel,Tutorial,Tutorial,Samouczek
COMPLETE,Done!,Completato!,Terminé!,¡Listo!,Fertig!,Koniec 
NEXT,Next,Avanti,Prochain,Próximo,Weiter,Dalej
EXIT,Exit,Esci,Sortie,Salir,Zurück,Menu
LEV_NAME,Name*,Nome*,Nom*,Nombre*,Name*,Imię*
MOVES,Moves,Mosse,Mouvements,Acción,Bewegungen,Ruchy
SAVE,Save,Salva,Sauver,Salvar,Speichern,Zapisz
CODE,Code*,Codice*,Code*,Código*,Code*,Kod*
SCORE,Score,Punteggio,Score,Puntaje,Punktzahl,Punkty
ABOUT_US,About us,Chi siamo,À propos de nous,Sobre nosotras,Das Team,Zespół

THREE_STAR_MSG_1,"3 Star victory!","Vittoria stellare!","Victoire étoilée!","¡Victoria estrellada!","3-Sterne Sieg!",Zwycięstwo!
THREE_STAR_MSG_2,"Flawless finish!","Conclusione perfetta!","Finition impeccable!","¡Final perfecto!","Makellos!",Idealnie!
THREE_STAR_MSG_3,"You nailed it!","Ci sei riuscito!","Tu l'as réussi!","¡Lo lograste!","Du hast es geschafft!",Udało się! 
TWO_STAR_MSG_1,"Shining bright!","Brillante!","Brillant!","¡Brillando!","Strahlend!",Dobra robota! 
TWO_STAR_MSG_2,"Almost perfect!","Quasi perfetto!","Presque parfait!","¡Casi perfecto!","Fast perfekt!",Prawie idealnie! 
TWO_STAR_MSG_3,"So close, yet so bright!","Ci sei andato vicino!","Ça brille... presque!","Brilla, brilla... casi!","So nah und doch so weit! ",Tak blisko!
ONE_STAR_MSG_1,"Barely made it.","Per un soffio!","À la largeur d'un cheveu","¡Apenas lo lograste!","Knapp geschafft!",Ledwo ale poszło! 
ONE_STAR_MSG_2,"Star power on fumes.","Hai fatto il minimo!","Pouvoir d'étoile au minimum.","¡Energía estelar al mínimo.","Ein Stern ist besser als kein Stern!",Lepsza jedna niż wcale!
